yr,holiday,workingday,temp,hum,windspeed,cnt,spring,summer,winter,cloudy,rainy,mnth_sin,mnth_cos,weekday_sin,weekday_cos
0,0,0,14.110847,80.5833,10.749882000000001,985,1,0,0,1,0,0.0,1.0,-0.7818314824680299,0.6234898018587334
0,0,0,14.902598000000001,69.6087,16.652113,801,1,0,0,1,0,0.0,1.0,0.0,1.0
0,0,1,8.050924,43.7273,16.636703,1349,1,0,0,0,0,0.0,1.0,0.7818314824680297,0.6234898018587336
0,0,1,8.2,59.0435,10.739832,1562,1,0,0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
0,0,1,9.305237,43.6957,12.5223,1600,1,0,0,0,0,0.0,1.0,0.43388373911755823,-0.900968867902419
0,0,1,8.378267999999998,51.8261,6.0008684,1606,1,0,0,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191
0,0,1,8.057402,49.8696,11.304642,1510,1,0,0,1,0,0.0,1.0,-0.9749279121818235,-0.2225209339563146
0,0,0,6.765,53.5833,17.875868,959,1,0,0,1,0,0.0,1.0,-0.7818314824680299,0.6234898018587334
0,0,0,5.671653,43.4167,24.25065,822,1,0,0,0,0,0.0,1.0,0.0,1.0
0,0,1,6.184153,48.2917,14.958889000000001,1321,1,0,0,0,0,0.0,1.0,0.7818314824680297,0.6234898018587336
0,0,1,6.9327309999999995,68.6364,8.182844000000001,1263,1,0,0,1,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
0,0,1,7.081807,59.9545,20.410009,1162,1,0,0,0,0,0.0,1.0,0.43388373911755823,-0.900968867902419
0,0,1,6.765,47.0417,20.167,1406,1,0,0,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191
0,0,1,6.59567,53.7826,8.478716,1421,1,0,0,0,0,0.0,1.0,-0.9749279121818235,-0.2225209339563146
0,0,0,9.566653,49.875,10.583521000000001,1248,1,0,0,1,0,0.0,1.0,-0.7818314824680299,0.6234898018587334
0,0,0,9.498347,48.375,12.625011,1204,1,0,0,0,0,0.0,1.0,0.0,1.0
0,1,0,7.209153,53.75,12.999139,1000,1,0,0,1,0,0.0,1.0,0.7818314824680297,0.6234898018587336
0,0,1,8.883347,86.1667,9.833925,683,1,0,0,1,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
0,0,1,11.979134,74.1739,13.957239000000001,1650,1,0,0,1,0,0.0,1.0,0.43388373911755823,-0.900968867902419
0,0,1,10.728347,53.8333,13.125568,1927,1,0,0,1,0,0.0,1.0,-0.433883739117558,-0.9009688679024191
